nohup: ignoring input
t=2026-04-22T08:19:11+0000 lvl=info msg="no configuration paths supplied"
t=2026-04-22T08:19:11+0000 lvl=info msg="using configuration at default config path" path=/home/azureuser/.config/ngrok/ngrok.yml
t=2026-04-22T08:19:11+0000 lvl=info msg="open config file" path=/home/azureuser/.config/ngrok/ngrok.yml err=nil
t=2026-04-22T08:19:11+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-22T08:19:11+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-22T08:22:17+0000 lvl=info msg="join connections" obj=join id=927a03c8a626 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:22:33+0000 lvl=info msg="join connections" obj=join id=fed760197970 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:22:48+0000 lvl=info msg="join connections" obj=join id=cf928be555c0 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:23:03+0000 lvl=info msg="join connections" obj=join id=4afe3f28d1d5 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:23:18+0000 lvl=info msg="join connections" obj=join id=b07ad05fb942 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:23:33+0000 lvl=info msg="join connections" obj=join id=8bbf77cf7f65 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:23:48+0000 lvl=info msg="join connections" obj=join id=da4145ea899d l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:24:03+0000 lvl=info msg="join connections" obj=join id=33e0589ad9c6 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:24:18+0000 lvl=info msg="join connections" obj=join id=ef9d7ed47926 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:24:33+0000 lvl=info msg="join connections" obj=join id=d01c5dbff2e6 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:24:48+0000 lvl=info msg="join connections" obj=join id=878d894f19f2 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:25:03+0000 lvl=info msg="join connections" obj=join id=e651e914ad0f l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:25:18+0000 lvl=info msg="join connections" obj=join id=92224a8ebbd2 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:25:30+0000 lvl=info msg="join connections" obj=join id=e31def04b52b l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:25:45+0000 lvl=info msg="join connections" obj=join id=3111b7ba09e8 l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:26:00+0000 lvl=info msg="join connections" obj=join id=5fbfc52d36af l=127.0.0.1:8787 r=130.248.126.34:47399
t=2026-04-22T08:26:15+0000 lvl=info msg="join connections" obj=join id=f8bf295fd3d6 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:26:30+0000 lvl=info msg="join connections" obj=join id=5c9e664ed33d l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:26:45+0000 lvl=info msg="join connections" obj=join id=760ecbff9a7c l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:27:00+0000 lvl=info msg="join connections" obj=join id=b5901376ac02 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:27:15+0000 lvl=info msg="join connections" obj=join id=f77ae43e5943 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:27:30+0000 lvl=info msg="join connections" obj=join id=bb1584c55617 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:27:46+0000 lvl=info msg="join connections" obj=join id=cfe01038b882 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:28:01+0000 lvl=info msg="join connections" obj=join id=30a03c1c4d59 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:28:16+0000 lvl=info msg="join connections" obj=join id=3add43581068 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:28:31+0000 lvl=info msg="join connections" obj=join id=3d483bdc6715 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:28:46+0000 lvl=info msg="join connections" obj=join id=9bd8d3f9c766 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:29:01+0000 lvl=info msg="join connections" obj=join id=0f8d1f13c973 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:29:16+0000 lvl=info msg="join connections" obj=join id=d6cfb7528483 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:29:31+0000 lvl=info msg="join connections" obj=join id=60716aa2b0a3 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:29:46+0000 lvl=info msg="join connections" obj=join id=f9283fdd5d04 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:30:01+0000 lvl=info msg="join connections" obj=join id=aa24cdb50830 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:30:16+0000 lvl=info msg="join connections" obj=join id=8d34cca08581 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:30:31+0000 lvl=info msg="join connections" obj=join id=f84b6486f713 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:30:46+0000 lvl=info msg="join connections" obj=join id=57bff88906d1 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:31:01+0000 lvl=info msg="join connections" obj=join id=e9cdc800d66e l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:31:16+0000 lvl=info msg="join connections" obj=join id=e6ba43ce1b2a l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:31:31+0000 lvl=info msg="join connections" obj=join id=ea7a97333566 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:31:47+0000 lvl=info msg="join connections" obj=join id=d0d755ecc1bc l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:32:02+0000 lvl=info msg="join connections" obj=join id=f3ea095b52a2 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:32:17+0000 lvl=info msg="join connections" obj=join id=b825f7602fe4 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:32:32+0000 lvl=info msg="join connections" obj=join id=892110ac54c2 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:32:47+0000 lvl=info msg="join connections" obj=join id=d6932935863b l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:33:02+0000 lvl=info msg="join connections" obj=join id=67e2c132f52e l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:33:17+0000 lvl=info msg="join connections" obj=join id=7018d6a1700d l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:33:32+0000 lvl=info msg="join connections" obj=join id=48b8a4fb2fe8 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:33:47+0000 lvl=info msg="join connections" obj=join id=a141b781bde8 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:34:02+0000 lvl=info msg="join connections" obj=join id=750c96c11110 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:34:17+0000 lvl=info msg="join connections" obj=join id=928647249f0a l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:34:32+0000 lvl=info msg="join connections" obj=join id=fd9962901f9a l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:34:47+0000 lvl=info msg="join connections" obj=join id=8a5b4f1ab61e l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:35:02+0000 lvl=info msg="join connections" obj=join id=b3832cc96808 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:35:17+0000 lvl=info msg="join connections" obj=join id=323cdc81c803 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:35:32+0000 lvl=info msg="join connections" obj=join id=c552436c0216 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:35:48+0000 lvl=info msg="join connections" obj=join id=9f0a632aae38 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:36:03+0000 lvl=info msg="join connections" obj=join id=40ec785d99ca l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:36:18+0000 lvl=info msg="join connections" obj=join id=d06c746e41f0 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:36:33+0000 lvl=info msg="join connections" obj=join id=72bbf275b1c5 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:36:48+0000 lvl=info msg="join connections" obj=join id=0405a97a7d5f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:37:03+0000 lvl=info msg="join connections" obj=join id=eb2d38330d29 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:37:18+0000 lvl=info msg="join connections" obj=join id=6f28f6393506 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:37:33+0000 lvl=info msg="join connections" obj=join id=31774c156373 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:37:48+0000 lvl=info msg="join connections" obj=join id=a05652c05995 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:38:03+0000 lvl=info msg="join connections" obj=join id=69bb622cebd9 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:38:18+0000 lvl=info msg="join connections" obj=join id=e84993ce55c3 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:38:33+0000 lvl=info msg="join connections" obj=join id=7831f0b902f1 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:38:48+0000 lvl=info msg="join connections" obj=join id=aa8974e10b10 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:39:03+0000 lvl=info msg="join connections" obj=join id=521070aa56a7 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:39:18+0000 lvl=info msg="join connections" obj=join id=5b208742835e l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:39:33+0000 lvl=info msg="join connections" obj=join id=6aa4b0e27e7a l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:39:49+0000 lvl=info msg="join connections" obj=join id=0c91bce0847f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:40:04+0000 lvl=info msg="join connections" obj=join id=15381f26633d l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:40:19+0000 lvl=info msg="join connections" obj=join id=5c59beea1ae0 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:40:34+0000 lvl=info msg="join connections" obj=join id=00f7712c5d2f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:40:49+0000 lvl=info msg="join connections" obj=join id=8fa09eccf421 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:41:04+0000 lvl=info msg="join connections" obj=join id=23c6564b0a6d l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:41:19+0000 lvl=info msg="join connections" obj=join id=9b7395e379b1 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:41:34+0000 lvl=info msg="join connections" obj=join id=0293fbd64a0f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:41:49+0000 lvl=info msg="join connections" obj=join id=82b4cfe2e4b0 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:42:04+0000 lvl=info msg="join connections" obj=join id=d00de6dd75fb l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:42:19+0000 lvl=info msg="join connections" obj=join id=3dfb92dbe4eb l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:42:34+0000 lvl=info msg="join connections" obj=join id=190761a3acb6 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:42:49+0000 lvl=info msg="join connections" obj=join id=3f70a332f035 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:43:04+0000 lvl=info msg="join connections" obj=join id=736a4ee7dc6a l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:43:19+0000 lvl=info msg="join connections" obj=join id=d87a0c278612 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:43:34+0000 lvl=info msg="join connections" obj=join id=a1ab5efcb26c l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:43:50+0000 lvl=info msg="join connections" obj=join id=08057885f400 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:44:05+0000 lvl=info msg="join connections" obj=join id=28b68461229f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:44:20+0000 lvl=info msg="join connections" obj=join id=b195421716d3 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:44:35+0000 lvl=info msg="join connections" obj=join id=691b81724fcf l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:44:50+0000 lvl=info msg="join connections" obj=join id=560fc6f6f424 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:45:05+0000 lvl=info msg="join connections" obj=join id=5c223aee3b96 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:45:20+0000 lvl=info msg="join connections" obj=join id=56c36f6ef3f5 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:45:35+0000 lvl=info msg="join connections" obj=join id=00f8bc60b9d9 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:45:50+0000 lvl=info msg="join connections" obj=join id=bb0939737b20 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:46:05+0000 lvl=info msg="join connections" obj=join id=930982b64109 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:46:20+0000 lvl=info msg="join connections" obj=join id=3bf37380b338 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:46:35+0000 lvl=info msg="join connections" obj=join id=4c92c512f473 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:46:50+0000 lvl=info msg="join connections" obj=join id=b33ad58697bc l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:47:05+0000 lvl=info msg="join connections" obj=join id=8158d76377a7 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:47:20+0000 lvl=info msg="join connections" obj=join id=de70eaf60ee0 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:47:36+0000 lvl=info msg="join connections" obj=join id=9f8c2a534f22 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:47:51+0000 lvl=info msg="join connections" obj=join id=4fb4ca3ed1e6 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:48:06+0000 lvl=info msg="join connections" obj=join id=2bbf5e8faee4 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:48:21+0000 lvl=info msg="join connections" obj=join id=0b2a9a324f3b l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:48:36+0000 lvl=info msg="join connections" obj=join id=d899cb8614ee l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:48:51+0000 lvl=info msg="join connections" obj=join id=7b3e4a2071f4 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:49:06+0000 lvl=info msg="join connections" obj=join id=78f6fa55ab2c l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:49:21+0000 lvl=info msg="join connections" obj=join id=b89caf358e0d l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:49:36+0000 lvl=info msg="join connections" obj=join id=0cf78eb1e729 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:49:51+0000 lvl=info msg="join connections" obj=join id=82ce8eae120f l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:50:06+0000 lvl=info msg="join connections" obj=join id=4fe39d04c35b l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:50:21+0000 lvl=info msg="join connections" obj=join id=e203dfe716d2 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:50:36+0000 lvl=info msg="join connections" obj=join id=bfc33a01a583 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:50:51+0000 lvl=info msg="join connections" obj=join id=fc255ec6a6a4 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:51:06+0000 lvl=info msg="join connections" obj=join id=81c5ed264a81 l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:51:22+0000 lvl=info msg="join connections" obj=join id=bf6389ba975c l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:51:37+0000 lvl=info msg="join connections" obj=join id=76b367b74abe l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:51:52+0000 lvl=info msg="join connections" obj=join id=5e0be717b31c l=127.0.0.1:8787 r=130.248.127.34:48016
t=2026-04-22T08:52:07+0000 lvl=info msg="join connections" obj=join id=3242fe8d0c40 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:52:22+0000 lvl=info msg="join connections" obj=join id=374393010acd l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:52:37+0000 lvl=info msg="join connections" obj=join id=0949bc441b99 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:52:52+0000 lvl=info msg="join connections" obj=join id=911076ffd927 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:53:07+0000 lvl=info msg="join connections" obj=join id=b6383d399725 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:53:22+0000 lvl=info msg="join connections" obj=join id=28a36c41c031 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:53:37+0000 lvl=info msg="join connections" obj=join id=21891f171a9a l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:53:52+0000 lvl=info msg="join connections" obj=join id=c55857410d6d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:54:07+0000 lvl=info msg="join connections" obj=join id=f2b62d50b989 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:54:22+0000 lvl=info msg="join connections" obj=join id=d8f64dbf8f4f l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:54:37+0000 lvl=info msg="join connections" obj=join id=b59495c3df0d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:54:52+0000 lvl=info msg="join connections" obj=join id=c7753928d79d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:55:08+0000 lvl=info msg="join connections" obj=join id=26237bbef276 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:55:23+0000 lvl=info msg="join connections" obj=join id=5b1e65e9a744 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:55:38+0000 lvl=info msg="join connections" obj=join id=bdfb9e40b25d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:55:53+0000 lvl=info msg="join connections" obj=join id=164f56ef10ed l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:56:08+0000 lvl=info msg="join connections" obj=join id=d3d49b7ef560 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:56:23+0000 lvl=info msg="join connections" obj=join id=aee0a48b4492 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:56:38+0000 lvl=info msg="join connections" obj=join id=0e495f06d799 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:56:53+0000 lvl=info msg="join connections" obj=join id=c92372bb683f l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:57:08+0000 lvl=info msg="join connections" obj=join id=132d6a64058d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:57:23+0000 lvl=info msg="join connections" obj=join id=1cd520049c46 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:57:38+0000 lvl=info msg="join connections" obj=join id=cdd35453f975 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:57:53+0000 lvl=info msg="join connections" obj=join id=9242e414e8fc l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:58:08+0000 lvl=info msg="join connections" obj=join id=5a3df1d468d7 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:58:23+0000 lvl=info msg="join connections" obj=join id=8d846fa34686 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:58:38+0000 lvl=info msg="join connections" obj=join id=f98161818bf8 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:58:53+0000 lvl=info msg="join connections" obj=join id=bd373a0d6b1a l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:59:08+0000 lvl=info msg="join connections" obj=join id=75fb0b7f15cb l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:59:24+0000 lvl=info msg="join connections" obj=join id=7730db93100c l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:59:39+0000 lvl=info msg="join connections" obj=join id=7177e5078628 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T08:59:54+0000 lvl=info msg="join connections" obj=join id=9b8f0adc3005 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:00:09+0000 lvl=info msg="join connections" obj=join id=3dd3b111a3b3 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:00:24+0000 lvl=info msg="join connections" obj=join id=f42efda135aa l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:00:39+0000 lvl=info msg="join connections" obj=join id=ca7f40456ad4 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:00:54+0000 lvl=info msg="join connections" obj=join id=c314fa87c9ef l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:01:09+0000 lvl=info msg="join connections" obj=join id=5053b3790f80 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:01:24+0000 lvl=info msg="join connections" obj=join id=499e10eb7de6 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:01:39+0000 lvl=info msg="join connections" obj=join id=e9c83f55ff43 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:01:54+0000 lvl=info msg="join connections" obj=join id=bbe91438b804 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:02:07+0000 lvl=info msg="join connections" obj=join id=7f2f7372f50e l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:02:22+0000 lvl=info msg="join connections" obj=join id=7afa23fbeddf l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:02:37+0000 lvl=info msg="join connections" obj=join id=ba64060ab966 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:02:52+0000 lvl=info msg="join connections" obj=join id=2354cd4e317a l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:03:07+0000 lvl=info msg="join connections" obj=join id=df10549cb618 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:03:22+0000 lvl=info msg="join connections" obj=join id=153b9f078685 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:03:37+0000 lvl=info msg="join connections" obj=join id=40f055cfc8ae l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:03:52+0000 lvl=info msg="join connections" obj=join id=cd94cfaa3d7f l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:04:07+0000 lvl=info msg="join connections" obj=join id=5a2f7bdd103e l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:04:22+0000 lvl=info msg="join connections" obj=join id=270eb6201efe l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:04:38+0000 lvl=info msg="join connections" obj=join id=e2b5c8ab8bdc l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:04:54+0000 lvl=info msg="join connections" obj=join id=6ddbd518a52f l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:05:09+0000 lvl=info msg="join connections" obj=join id=f6398159e73d l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:05:24+0000 lvl=info msg="join connections" obj=join id=eb090019cac4 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:05:39+0000 lvl=info msg="join connections" obj=join id=7d438c0d753f l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:05:54+0000 lvl=info msg="join connections" obj=join id=e052288e3d49 l=127.0.0.1:8787 r=130.248.127.34:18108
t=2026-04-22T09:06:09+0000 lvl=info msg="join connections" obj=join id=fba6170f1818 l=127.0.0.1:8787 r=130.248.127.34:18108
